source,id,name,old_category_id,predicted_category_id,predicted_name,confidence,reason
supplier_products,ecaf860d-758f-4736-8a99-1edda6d09762,Martino Organic Chickpea Couscous,d1adcc9f-c6a7-40a2-a4a9-5cfbc7d10dad,ff746938-df89-47ad-9551-b174340c7ce1,Pasta/Noodles,high,"Couscous is a pasta/grain-based product. Although it contains chickpea (a legume), the primary product form is couscous (a prepared grain), not a protein isolate or meat alternative. Belongs in Pasta/Noodles category."
supplier_products,c4c1ff1a-08f1-422c-98a9-ab0f0c010694,Essential Oils,d1adcc9f-c6a7-40a2-a4a9-5cfbc7d10dad,unclassified,Unclassified,high,Essential oils are not food products; they are cosmetic/wellness ingredients outside the scope of this food sourcing platform's allowed categories.
supplier_products,1642eec7-9953-4ebf-8db6-c62fb7166f3f,Organic Antipasti,d1adcc9f-c6a7-40a2-a4a9-5cfbc7d10dad,6b051f68-90c2-4ba4-9535-f678cd268cf8,Canned & Preserved Goods,high,"Antipasti are preserved/pickled vegetable and ingredient mixtures, typically canned or jarred shelf-stable products, fitting Canned & Preserved Goods."
supplier_products,21946f53-3daa-45ae-addf-f1a7d631b9df,Organic Button Mushrooms,d1adcc9f-c6a7-40a2-a4a9-5cfbc7d10dad,unclassified,Unclassified,high,"Organic button mushrooms are fresh produce, not covered by any allowed category in this food sourcing list"
supplier_products,3a06841e-0917-43b7-88a9-1714dc92fc24,Grape Products,d1adcc9f-c6a7-40a2-a4a9-5cfbc7d10dad,unclassified,Unclassified,high,"Grape products (fresh, dried, juice, wine, etc.) do not match any allowed category. Not a processed snack, confectionery, canned good, protein, sauce, beverage, or other listed type. Requires custom category."
supplier_products,ff557bb1-993e-442c-abc6-095349727bb4,Panettone,d1adcc9f-c6a7-40a2-a4a9-5cfbc7d10dad,8660789d-00a3-49d2-8489-6b42f2345b7a,Bakery & Bread Products,high,"Panettone is a traditional Italian sweet bread/cake product, falls under Bakery & Bread Products category"
supplier_products,1b77f064-738f-4f29-adc9-0167604a4138,Silverskin Onions,d1adcc9f-c6a7-40a2-a4a9-5cfbc7d10dad,unclassified,Unclassified,high,"Silverskin onions are fresh produce/vegetables. No fresh produce category exists in allowed list. Canned Vegetables & Pulses requires preserved/canned format, not fresh."
supplier_products,f32dad1c-18a5-4666-b76d-c161a8ae7957,Jalapeños,d1adcc9f-c6a7-40a2-a4a9-5cfbc7d10dad,bd1da832-15dd-4186-b365-3e26b38bbdbe,Canned Vegetables & Pulses,high,"Jalapeños are preserved/canned peppers, fitting Canned Vegetables & Pulses category"
supplier_products,0d9b32c4-1f3c-48ac-96d0-14a9171fcb23,Organic Pomegranate Vinegar,d1adcc9f-c6a7-40a2-a4a9-5cfbc7d10dad,24768201-755e-4560-b283-46cbbabcd27b,Specialty Sauces & Condiments,high,"Pomegranate vinegar is a liquid condiment/flavoring ingredient used in cooking and food preparation, fitting Specialty Sauces & Condiments category."
supplier_products,b612945e-80c1-4ce5-8e3d-4d5f7393d8d2,Organic Button Mushrooms,d1adcc9f-c6a7-40a2-a4a9-5cfbc7d10dad,unclassified,Unclassified,high,"Organic button mushrooms are fresh produce/vegetables. No allowed category matches fresh mushrooms. 'Canned Vegetables & Pulses' is for preserved items only, not fresh produce."
supplier_products,12c26827-9a52-4056-9328-f92a3c8ad747,Organic Olives,d1adcc9f-c6a7-40a2-a4a9-5cfbc7d10dad,6b051f68-90c2-4ba4-9535-f678cd268cf8,Canned & Preserved Goods,high,"Organic olives are preserved/canned vegetables, fitting Canned & Preserved Goods category"
supplier_products,098f752a-fe65-428d-8afe-8934d9f9abd4,Organic Breadcrumbs,d1adcc9f-c6a7-40a2-a4a9-5cfbc7d10dad,8660789d-00a3-49d2-8489-6b42f2345b7a,Bakery & Bread Products,high,"Breadcrumbs are a finished bakery ingredient product derived from bread, directly fitting Bakery & Bread Products category"
supplier_products,4e83bd37-66cf-4c94-8d2b-01ca43afe859,Organic Frozen Vegetables,d1adcc9f-c6a7-40a2-a4a9-5cfbc7d10dad,c49e821f-fff8-4ac1-af10-c6db4c8564ab,Prepared Meals (Frozen & Shelf-Stable),high,Frozen vegetables explicitly match the conflict rule: 'Frozen vegetables / frozen ready items -> Prepared Meals (Frozen & Shelf-Stable)'
supplier_products,f8f7ac5d-0246-4d7d-a199-c27a28a21e7f,Freeze-Dried Superfoods,d1adcc9f-c6a7-40a2-a4a9-5cfbc7d10dad,unclassified,Unclassified,high,"Freeze-dried superfoods (acai, goji, berries, etc.) are nutritional/health products that don't fit cleanly into any allowed category. Not savory snacks, not breakfast cereals, not confectionery, not ingredients/additives (retail SKU, not B2B raw input), not plant-based protein unless explicitly protein-focused. No natural home."
supplier_products,de9d9d30-b323-4801-8564-a6bf484da35f,Fruit Cells,d1adcc9f-c6a7-40a2-a4a9-5cfbc7d10dad,unclassified,Unclassified,high,"'Fruit Cells' is ambiguous without product form/usage context. Could be freeze-dried fruit pieces, fruit-based ingredient, or processed fruit product. None of the allowed categories explicitly cover generic fruit products or fruit-based ingredients without further specification."
supplier_products,e091f610-ccb7-4594-aa5e-d632d96598e6,Croissants,d1adcc9f-c6a7-40a2-a4a9-5cfbc7d10dad,8660789d-00a3-49d2-8489-6b42f2345b7a,Bakery & Bread Products,high,"Croissants are a finished bakery product, classified under Bakery & Bread Products regardless of organic/natural labeling."
supplier_products,bd2a17e5-7f13-460d-8dae-e6dff367da05,Tartlets,d1adcc9f-c6a7-40a2-a4a9-5cfbc7d10dad,91549ddb-1b13-4058-82f6-f1d86475ea0f,Sweet Biscuits & Bars,high,"Tartlets are small pastry-based desserts, typically filled with sweet ingredients. They fit the definition of sweet baked goods/confections closest to Sweet Biscuits & Bars category."
supplier_products,cd448b2e-cbf8-4dc3-83fc-3ba5180630a8,Deionized Juice,d1adcc9f-c6a7-40a2-a4a9-5cfbc7d10dad,32eace2c-ac37-4168-b93b-005748119293,Beverages (Non-Alcoholic),high,"Deionized juice is a beverage product, regardless of organic/natural claims. Juice falls under Beverages (Non-Alcoholic)."
supplier_products,6daa6625-57b2-4652-ab95-3231e3bbb5d4,Rectified Juice,d1adcc9f-c6a7-40a2-a4a9-5cfbc7d10dad,32eace2c-ac37-4168-b93b-005748119293,Beverages (Non-Alcoholic),high,"Rectified juice is a processed beverage product (juice concentrate or clarified juice), belongs in Beverages (Non-Alcoholic)"
supplier_products,ba790fca-5af3-4f42-8f6b-a35aa53bf5b4,Clarified Juice,d1adcc9f-c6a7-40a2-a4a9-5cfbc7d10dad,32eace2c-ac37-4168-b93b-005748119293,Beverages (Non-Alcoholic),high,"Clarified juice is a beverage product, non-alcoholic, typically a processed/filtered juice drink."
supplier_products,a69cfed6-952a-493c-b134-a075a40c8cc7,Organic Citrus Honey,d1adcc9f-c6a7-40a2-a4a9-5cfbc7d10dad,baf81f58-194d-4810-9367-152fac1349bf,Sugars & Sweeteners,high,Honey is explicitly classified as Sugars & Sweeteners per conflict rules
supplier_products,fcda3f1f-c151-415f-8c26-ab53315e03b1,Plumcakes,d1adcc9f-c6a7-40a2-a4a9-5cfbc7d10dad,91549ddb-1b13-4058-82f6-f1d86475ea0f,Sweet Biscuits & Bars,high,Plumcakes are sweet baked goods/cakes; classified as Sweet Biscuits & Bars per conflict rules for plain/sweet bakery items
supplier_products,bdfab612-221b-4c6f-9df8-b9270ba6e075,Organic Cherry Honey,d1adcc9f-c6a7-40a2-a4a9-5cfbc7d10dad,baf81f58-194d-4810-9367-152fac1349bf,Sugars & Sweeteners,high,Honey is explicitly classified as Sugars & Sweeteners per conflict rules
supplier_products,2ad0ed03-8a5d-4a07-8285-600fce8f50f5,Organic Rosemary Honey,d1adcc9f-c6a7-40a2-a4a9-5cfbc7d10dad,baf81f58-194d-4810-9367-152fac1349bf,Sugars & Sweeteners,high,"Honey is explicitly listed in conflict rules as Sugars & Sweeteners category. Rosemary is a flavoring addition, not the primary product."
supplier_products,70a243bd-c9b9-4209-aded-a1565f551a5c,Organic Dried Berries,d1adcc9f-c6a7-40a2-a4a9-5cfbc7d10dad,unclassified,Unclassified,high,"Organic dried berries are a whole fruit snack/ingredient not explicitly matching any allowed category. Not savory snacks, not sweet biscuits, not breakfast cereals, not confectionery. Closest would be 'Canned & Preserved Goods' but dried berries differ in processing/format. Safest classification is unclassified to avoid forced misplacement."
supplier_products,ae3e043c-c12d-4bea-b5f4-4cd9608985aa,NFC Cold Pressed Juice,d1adcc9f-c6a7-40a2-a4a9-5cfbc7d10dad,32eace2c-ac37-4168-b93b-005748119293,Beverages (Non-Alcoholic),high,"NFC cold pressed juice is a non-alcoholic beverage product, clearly fitting Beverages (Non-Alcoholic)"
supplier_products,fb643038-45af-4216-b651-59a2015326fe,Fruit Puree,d1adcc9f-c6a7-40a2-a4a9-5cfbc7d10dad,unclassified,Unclassified,high,"Fruit puree is a processed fruit product that does not align with any allowed category. It is not a preserved good, ingredient additive, sauce, spread, or beverage. No exact match exists in the provided list."
supplier_products,100643f9-6416-4f24-a821-6226b928eb29,Concentrated Fruit Puree,d1adcc9f-c6a7-40a2-a4a9-5cfbc7d10dad,0a8f2c3c-b4ed-4759-849d-a545cdf551a2,Ingredients & Additives,high,"Concentrated fruit puree is a B2B raw ingredient/functional input used in manufacturing beverages, desserts, sauces, and other products. It is not a finished retail SKU and belongs in Ingredients & Additives."
supplier_products,29557340-0f4a-47cd-8577-439ef6809261,Organic Rhododendron Honey,d1adcc9f-c6a7-40a2-a4a9-5cfbc7d10dad,baf81f58-194d-4810-9367-152fac1349bf,Sugars & Sweeteners,high,Honey is explicitly listed in conflict rules as Sugars & Sweeteners category
supplier_products,79f7c161-339f-4e24-8177-058a04477844,Swiss Rolls,d1adcc9f-c6a7-40a2-a4a9-5cfbc7d10dad,91549ddb-1b13-4058-82f6-f1d86475ea0f,Sweet Biscuits & Bars,high,"Swiss Rolls are sweet baked confections/cakes. While they contain chocolate coating, they are primarily a baked sweet biscuit/bar product, not pure chocolate. Fits Sweet Biscuits & Bars category."
supplier_products,aca0f758-00af-4032-a963-4d9da8905d8b,Concentrated Vegetable Puree,d1adcc9f-c6a7-40a2-a4a9-5cfbc7d10dad,bd1da832-15dd-4186-b365-3e26b38bbdbe,Canned Vegetables & Pulses,high,"Concentrated vegetable puree is a processed vegetable product, best classified as Canned Vegetables & Pulses. It is a preserved/shelf-stable vegetable ingredient commonly used in food service."
